event_type,expected_participants,duration_hours,prize_pool,refreshments_needed,stationary_needed,goodies_needed,physical_certificate,trophies_needed,volunteers_needed,rooms_needed,refreshment_item_count,stationery_item_count,expense_refreshments,expense_stationery,expense_certificates,expense_goodies,expense_trophies,expense_other,total_expense
3,176,1,0,1,0,1,1,0,9,4,10,0,13937,0,1667,9364,0,13816,38784
1,66,1,7000,1,1,0,1,1,3,1,6,8,3091,3448,769,0,3336,2499,13143
1,136,1,0,1,1,0,1,0,9,2,10,10,11676,8841,1982,0,0,7431,29930
2,54,6,0,1,1,0,1,0,5,1,8,8,9150,3143,761,0,0,3514,16568
1,182,1,7000,0,1,1,0,1,12,3,0,10,0,7674,0,8726,2565,11372,30337
1,96,1,0,1,1,1,1,0,8,1,6,8,4193,4407,1157,5180,0,7432,22369
1,152,2,0,1,1,0,1,0,10,2,10,10,13042,8027,1955,0,0,11872,34896
1,144,1,5000,0,1,1,1,1,10,2,0,10,0,8856,1614,6712,2503,7331,27016
0,140,4,15000,1,0,0,1,1,11,3,11,0,16765,0,1416,0,3636,7549,29366
0,108,1,10000,1,1,1,1,1,6,3,10,6,9337,1755,901,5537,3937,5780,27247
2,39,8,0,1,1,1,1,0,3,1,5,7,8109,2424,534,429,0,5669,17165
0,234,4,0,1,0,0,1,0,18,4,13,0,40748,0,2873,0,0,14071,57692
0,107,3,15000,1,0,1,1,1,6,2,10,0,9094,0,1585,6662,3474,7124,27939
4,72,4,0,1,1,0,1,0,4,1,8,9,9302,5114,591,0,0,2215,17222
0,103,2,15000,1,0,1,0,1,6,2,10,0,8514,0,0,4578,4118,7052,24262
2,167,4,0,1,1,0,1,0,16,3,12,10,29002,8804,2000,0,0,11817,51623
3,222,2,0,1,1,1,1,0,11,5,12,8,31531,3336,2330,12959,0,15555,65711
4,28,4,0,1,1,0,1,0,2,1,5,8,3552,1895,236,0,0,2193,7876
0,101,1,1000,1,0,1,1,1,7,2,10,0,8825,0,1184,5418,1598,6392,23417
2,54,7,20000,1,1,0,1,1,4,1,8,8,10861,2770,756,0,4271,4535,23193
2,34,5,5000,1,1,0,1,1,2,1,5,7,3746,1984,388,0,2509,4289,12916
4,58,3,0,1,1,0,1,0,3,1,7,9,4527,3215,791,0,0,2111,10644
0,149,3,0,1,0,0,1,0,8,2,10,0,13310,0,1963,0,0,8291,23564
1,81,2,7000,1,1,0,1,1,5,1,6,8,3877,4177,663,0,2656,6484,17857
4,94,2,0,1,1,1,1,0,7,2,7,9,5615,6200,1232,7134,0,4631,24812
0,35,2,0,1,1,0,1,0,2,1,3,3,928,359,503,0,0,2961,4751
1,119,1,20000,1,1,1,1,1,7,3,10,10,10177,7686,1161,8235,4063,7602,38924
1,61,1,0,1,1,1,1,0,6,1,6,8,3038,3648,773,819,0,4099,12377
0,78,4,0,1,0,1,1,0,4,1,7,0,9253,0,911,1404,0,3344,14912
1,177,2,0,1,1,1,0,0,9,4,10,10,17491,7214,0,13901,0,10914,49520
2,113,4,20000,1,1,1,1,1,5,2,12,10,19360,5630,1126,7793,4587,7751,46247
4,68,5,0,1,1,1,1,0,6,1,8,9,10744,4545,761,1286,0,3462,20798
0,103,4,5000,1,1,0,0,1,6,1,11,6,17476,1696,0,0,2841,8832,30845
3,76,3,0,1,0,0,1,0,5,1,6,0,3686,0,728,0,0,5562,9976
4,94,5,0,1,1,0,1,0,5,1,8,9,12395,4726,1055,0,0,6070,24246
0,249,3,2000,1,1,0,1,0,24,4,12,6,38563,3448,3611,0,0,13139,58761
3,85,2,0,1,1,0,1,0,7,1,6,6,4005,1524,874,0,0,8016,14419
0,243,2,2000,0,0,1,1,1,24,4,0,0,0,0,2010,14945,2054,12639,31648
2,146,8,0,1,1,0,1,0,7,3,12,10,34146,8264,1663,0,0,9626,53699
0,156,1,5000,1,1,0,0,1,8,3,10,6,14693,1820,0,0,3064,12224,31801
3,114,3,0,1,1,1,1,0,6,3,10,8,9169,2224,1521,8237,0,7928,29079
0,59,3,0,1,1,0,0,0,5,1,6,4,2870,460,0,0,0,3739,7069
2,124,4,1000,1,1,1,1,1,12,2,12,10,24217,5920,1731,9858,1713,9077,52516
4,66,5,0,1,1,0,1,0,4,1,8,9,9615,3973,929,0,0,2344,16861
0,193,1,0,1,1,1,0,0,12,3,10,6,14954,2875,0,8852,0,10740,37421
2,142,8,15000,1,1,0,1,0,7,3,12,10,36107,6354,2125,0,0,9387,53973
0,197,3,7000,1,0,0,0,1,13,3,10,0,13899,0,0,0,3016,13340,30255
1,66,1,1000,1,1,0,1,1,6,1,6,8,3103,2534,615,0,1907,3955,12114
2,91,8,5000,1,1,0,1,1,9,2,8,8,19272,6279,928,0,2800,7640,36919
0,243,2,0,1,0,1,1,0,15,4,12,0,33658,0,3145,15628,0,10237,62668
2,188,7,2000,1,1,0,1,1,15,4,12,10,45137,8873,2689,0,1919,13141,71759
