event_type,event_type_name,expected_participants,duration_hours,prize_pool,refreshments_needed,stationary_needed,goodies_needed,physical_certificate,trophies_needed,volunteers_needed,rooms_needed,refreshment_item_count,stationery_item_count,expense_refreshments,expense_stationery,expense_certificates,expense_goodies,expense_trophies,expense_other,total_expense
2,Hackathon,55,5,0,1,1,1,1,0,4,1,1,2,3868,554,921,4106,0,4918,14367
4,Workshop,89,5,0,1,1,1,0,0,4,2,4,5,11539,4211,0,5854,0,13150,34754
0,Non-Technical,189,2,7000,1,1,0,1,1,8,6,2,1,5069,1296,1853,0,4229,6521,18968
0,Non-Technical,249,4,7000,0,0,0,0,1,11,6,0,0,0,0,0,0,1614,8640,10254
4,Workshop,66,4,0,0,1,1,1,0,2,1,0,3,0,3623,950,1562,0,5469,11604
1,Technical,183,3,20000,1,1,1,1,1,18,5,1,3,2133,9478,1671,9064,2508,8551,33405
2,Hackathon,162,8,5000,1,1,0,0,1,10,3,3,3,13336,7858,0,0,2353,7711,31258
4,Workshop,63,4,0,1,1,0,0,0,3,1,4,3,3069,3120,0,0,0,9027,15216
2,Hackathon,113,8,15000,0,1,1,1,1,7,2,0,3,0,4596,1705,2414,1444,10080,20239
3,Seminar,169,3,0,0,1,1,0,0,11,3,0,5,0,7211,0,3096,0,15313,25620
4,Workshop,54,4,0,1,1,1,1,0,4,1,2,3,4003,1656,667,1281,0,9719,17326
2,Hackathon,112,5,0,1,1,1,1,0,5,3,3,1,4149,4349,1115,2564,0,10127,22304
4,Workshop,40,2,0,1,1,0,1,0,2,1,4,2,1578,1706,528,0,0,4475,8287
0,Non-Technical,230,3,1000,1,1,1,1,1,13,4,4,2,11457,2427,2471,16717,4049,10219,47340
4,Workshop,51,3,0,1,1,0,1,0,3,1,1,3,696,1949,567,0,0,8562,11774
1,Technical,101,1,0,1,1,1,1,0,7,1,2,4,2799,4882,1197,7312,0,11195,27385
0,Non-Technical,116,1,0,1,0,0,1,0,11,3,4,0,4797,0,1683,0,0,12261,18741
1,Technical,53,3,0,1,1,1,0,0,3,1,2,5,1600,2984,0,1737,0,9090,15411
0,Non-Technical,196,4,15000,1,1,0,1,1,12,5,1,4,18807,9945,1799,0,4276,9161,43988
1,Technical,131,1,2000,1,1,1,1,1,5,2,2,4,2869,5944,1623,6990,2052,11770,31248
0,Non-Technical,43,3,10000,1,0,0,1,1,3,1,3,0,1289,0,850,0,2138,6817,11094
3,Seminar,61,2,0,1,0,1,1,0,3,1,1,0,629,0,747,5204,0,4410,10990
2,Hackathon,46,5,0,1,1,0,1,0,2,1,1,3,4395,2195,777,0,0,9984,17351
1,Technical,97,2,5000,1,0,0,1,1,7,3,1,0,1689,0,1232,0,4893,4230,12044
0,Non-Technical,228,4,5000,1,0,0,1,1,12,3,3,0,23659,0,2894,0,1524,14311,42388
0,Non-Technical,209,4,15000,1,1,0,1,1,16,4,4,3,24901,7940,2515,0,3264,14054,52674
1,Technical,36,2,10000,0,0,0,0,1,2,1,0,0,0,0,0,0,5251,10311,15562
0,Non-Technical,82,4,1000,1,1,0,1,0,8,1,4,5,9073,4487,1211,0,0,5449,20220
3,Seminar,110,3,0,1,0,1,0,0,5,3,3,0,4667,0,0,6417,0,3860,14944
2,Hackathon,55,6,10000,1,0,1,1,1,2,1,2,0,9513,0,775,1801,3475,6359,21923
0,Non-Technical,86,3,1000,1,0,0,1,1,6,1,4,0,4759,0,1390,0,2474,8443,17066
2,Hackathon,166,6,15000,1,1,1,1,0,10,4,4,1,7549,1023,2043,11708,0,9926,32249
3,Seminar,133,1,0,0,1,1,0,0,8,2,0,1,0,3178,0,8266,0,8901,20345
4,Workshop,43,5,0,1,1,0,1,0,2,1,2,2,3967,384,629,0,0,7666,12646
1,Technical,43,3,3000,1,0,1,1,1,2,1,4,0,2073,0,432,2883,1728,5512,12628
0,Non-Technical,30,4,0,1,1,1,0,0,2,1,4,2,1562,1852,0,630,0,6867,10911
1,Technical,100,2,15000,1,0,0,0,1,5,2,3,0,3078,0,0,0,1531,7880,12489
3,Seminar,138,2,0,1,0,1,1,0,8,2,3,0,4253,0,1687,10249,0,6975,23164
1,Technical,127,3,3000,1,1,1,1,1,8,2,3,1,4734,3590,1589,1968,3362,8308,23551
4,Workshop,31,3,0,1,1,0,0,0,2,1,4,4,1454,1682,0,0,0,10527,13663
4,Workshop,81,5,0,0,0,0,1,0,6,1,0,0,0,0,1029,0,0,5970,6999
1,Technical,39,2,7000,1,0,1,1,1,3,1,3,0,1583,0,504,3490,1619,8715,15911
0,Non-Technical,39,1,0,1,1,1,0,0,3,1,1,3,409,2188,0,3014,0,4462,10073
1,Technical,105,4,20000,1,1,0,1,1,7,2,3,3,9576,2093,1435,0,4130,9222,26456
1,Technical,22,1,0,1,1,1,1,0,2,1,3,5,1036,1834,453,897,0,7388,11608
2,Hackathon,44,5,5000,1,0,1,1,1,4,1,3,0,3925,0,643,1431,1746,8891,16636
1,Technical,121,4,20000,1,0,1,1,1,8,2,4,0,10623,0,1277,9267,3252,7335,31754
0,Non-Technical,34,1,5000,0,0,0,1,1,2,1,0,0,0,0,578,0,2051,7357,9986
3,Seminar,224,1,0,0,0,0,1,0,10,4,0,0,0,0,2366,0,0,3482,5848
3,Seminar,287,2,0,1,0,0,1,0,19,4,4,0,11871,0,4231,0,0,10068,26170
2,Hackathon,110,8,2000,1,0,0,1,1,4,2,3,0,5452,0,1148,0,1872,8009,16481
2,Hackathon,103,7,10000,0,0,0,1,1,4,2,0,0,0,0,1181,0,4900,12758,18839
0,Non-Technical,21,3,10000,1,1,1,0,1,2,1,2,5,455,1675,0,1280,2146,8618,14174
0,Non-Technical,247,3,1000,1,1,0,0,1,20,5,4,4,12333,13368,0,0,1815,3010,30526
3,Seminar,73,1,0,1,0,0,1,0,5,1,4,0,3695,0,876,0,0,8245,12816
2,Hackathon,117,5,1000,1,0,0,1,1,11,2,1,0,1254,0,1574,0,2516,5979,11323
0,Non-Technical,62,2,0,1,1,1,1,0,3,1,3,5,1781,3895,750,3444,0,4160,14030
2,Hackathon,150,5,5000,1,1,0,1,1,6,4,4,4,13107,6295,2309,0,2829,6900,31440
3,Seminar,142,3,0,1,1,0,1,0,8,4,4,4,6586,5754,1449,0,0,10508,24297
4,Workshop,63,3,0,1,0,0,1,0,3,1,4,0,3516,0,700,0,0,10018,14234
0,Non-Technical,114,4,20000,1,0,0,1,0,4,2,4,0,6048,0,1283,0,0,11608,18939
3,Seminar,196,2,0,1,0,0,1,0,14,3,2,0,5320,0,2558,0,0,9007,16885
4,Workshop,93,2,0,0,1,0,1,0,9,2,0,5,0,5129,1468,0,0,10946,17543
4,Workshop,72,2,0,1,1,1,0,0,4,1,1,2,1085,3092,0,1289,0,8496,13962
3,Seminar,103,3,0,1,0,0,0,0,5,1,4,0,5104,0,0,0,0,3317,8421
3,Seminar,222,1,0,1,0,0,1,0,14,3,1,0,3536,0,3311,0,0,8030,14877
4,Workshop,92,3,0,1,1,1,1,0,5,1,3,2,3221,751,1071,5392,0,6954,17389
2,Hackathon,43,6,3000,0,0,0,0,1,3,1,0,0,0,0,0,0,1705,7817,9522
4,Workshop,32,4,0,1,0,1,1,0,2,1,1,0,489,0,486,799,0,5274,7048
4,Workshop,26,5,0,1,0,0,1,0,2,1,2,0,905,0,354,0,0,4218,5477
3,Seminar,97,1,0,1,1,1,1,0,5,2,2,5,1899,5483,1457,4860,0,8302,22001
3,Seminar,252,3,0,1,1,1,0,0,12,5,4,2,12050,1924,0,15001,0,5898,34873
2,Hackathon,80,6,5000,1,0,1,0,1,4,2,3,0,2778,0,0,5886,2404,7116,18184
4,Workshop,58,4,0,1,1,1,1,0,2,1,4,4,6695,2407,697,1046,0,6499,17344
4,Workshop,25,2,0,1,0,0,0,0,2,1,2,0,781,0,0,0,0,3612,4393
2,Hackathon,49,4,7000,1,1,1,1,1,2,1,3,4,4662,1687,703,3069,3302,5938,19361
4,Workshop,46,5,0,0,1,1,1,0,3,1,0,4,0,1078,875,1122,0,7635,10710
3,Seminar,243,1,0,1,1,1,1,0,17,5,2,1,7587,2426,2695,3105,0,4719,20532
4,Workshop,77,3,0,1,0,1,0,0,3,1,2,0,2457,0,0,1375,0,10940,14772
3,Seminar,128,3,0,0,1,0,0,0,9,3,0,5,0,6696,0,0,0,6101,12797
4,Workshop,68,4,0,1,0,0,0,0,5,1,3,0,2553,0,0,0,0,11306,13859
3,Seminar,81,2,0,1,1,1,1,0,6,2,1,3,1236,1197,1350,1559,0,6413,11755
3,Seminar,109,3,0,1,0,0,1,0,4,2,1,0,1762,0,1588,0,0,11969,15319
2,Hackathon,128,6,5000,1,0,0,1,0,5,4,3,0,5248,0,1282,0,0,5070,11600
3,Seminar,131,2,0,1,0,1,1,0,7,3,4,0,6533,0,1859,10657,0,8042,27091
3,Seminar,236,2,0,1,0,0,1,0,23,5,4,0,10695,0,3222,0,0,10623,24540
2,Hackathon,151,5,0,1,1,1,1,0,10,3,4,2,8093,5893,1802,9539,0,8424,33751
0,Non-Technical,66,2,15000,1,1,1,1,1,3,1,1,1,811,752,825,4680,1740,7062,15870
1,Technical,197,3,20000,1,1,1,0,1,19,3,2,1,3750,904,0,12546,2048,7196,26444
2,Hackathon,43,6,0,1,0,0,1,0,2,1,4,0,2250,0,512,0,0,5262,8024
4,Workshop,35,5,0,1,1,0,1,0,2,1,3,2,1616,1858,525,0,0,5601,9600
0,Non-Technical,59,3,10000,1,1,0,1,1,2,1,4,2,2485,3123,730,0,3564,6365,16267
0,Non-Technical,199,2,2000,1,1,1,0,0,8,6,2,1,4662,5837,0,15391,0,8477,34367
4,Workshop,67,3,0,1,1,1,0,0,4,1,1,1,1359,694,0,2129,0,5744,9926
4,Workshop,85,2,0,1,0,1,0,0,3,1,3,0,3060,0,0,1867,0,8631,13558
2,Hackathon,191,8,0,1,0,0,1,0,13,4,3,0,5751,0,2655,0,0,12641,21047
1,Technical,137,1,15000,1,0,1,1,1,7,4,3,0,5445,0,1916,2793,1633,3664,15451
3,Seminar,258,1,0,1,1,1,1,0,14,5,1,1,2601,1063,3730,3631,0,11581,22606
2,Hackathon,157,6,0,1,0,1,1,0,11,2,2,0,17180,0,2478,10057,0,6394,36109
4,Workshop,48,2,0,1,1,0,1,0,2,1,2,1,897,2521,805,0,0,6503,10726
0,Non-Technical,174,2,0,1,1,0,1,0,9,2,3,2,5841,7928,2424,0,0,7926,24119
4,Workshop,44,4,0,1,0,0,0,0,3,1,4,0,5414,0,0,0,0,5823,11237
4,Workshop,75,2,0,0,0,1,1,0,6,1,0,0,0,0,795,5808,0,8637,15240
4,Workshop,36,5,0,1,0,0,1,0,2,1,4,0,4328,0,593,0,0,9997,14918
1,Technical,96,1,0,1,1,0,0,0,3,2,1,2,1686,1421,0,0,0,5613,8720
2,Hackathon,33,5,0,0,1,1,0,0,2,1,0,5,0,1806,0,2512,0,5694,10012
0,Non-Technical,42,1,0,1,1,0,0,0,3,1,4,5,1787,2682,0,0,0,9241,13710
4,Workshop,40,5,0,1,0,1,1,0,2,1,3,0,1247,0,446,1231,0,8177,11101
0,Non-Technical,39,4,0,0,1,1,0,0,2,1,0,4,0,961,0,1359,0,7373,9693
2,Hackathon,171,6,15000,1,0,0,1,1,9,2,4,0,8819,0,2007,0,4158,7088,22072
4,Workshop,47,3,0,1,1,0,0,0,3,1,4,4,2033,2917,0,0,0,12251,17201
3,Seminar,107,1,0,1,0,0,0,0,10,1,1,0,1328,0,0,0,0,6210,7538
2,Hackathon,112,7,5000,1,0,1,0,1,7,2,1,0,20342,0,0,8868,4793,12394,46397
1,Technical,116,4,0,1,1,1,1,0,5,3,3,2,8335,1566,1258,5030,0,8813,25002
0,Non-Technical,172,3,0,1,1,1,1,0,17,3,3,2,8426,1394,1783,2471,0,6622,20696
2,Hackathon,130,8,5000,1,1,0,1,1,5,2,4,5,12419,6301,1643,0,1509,8611,30483
1,Technical,92,3,15000,1,1,0,1,1,3,1,3,5,2995,5401,1525,0,3636,5010,18567
0,Non-Technical,226,4,3000,1,1,0,1,1,14,6,4,1,26715,1738,3018,0,2096,4149,37716
3,Seminar,120,1,0,0,1,0,1,0,5,2,0,5,0,6596,1524,0,0,6049,14169
1,Technical,41,2,0,1,0,0,1,0,2,1,1,0,530,0,686,0,0,8105,9321
2,Hackathon,134,8,1000,1,0,0,0,1,8,2,2,0,12016,0,0,0,4675,8735,25426
2,Hackathon,197,4,10000,1,1,0,1,1,9,3,1,2,2362,3001,2408,0,2639,9594,20004
3,Seminar,241,3,0,1,0,1,0,0,21,7,1,0,3906,0,0,3342,0,8289,15537
0,Non-Technical,33,3,0,1,0,1,1,0,2,1,2,0,798,0,657,2880,0,9820,14155
0,Non-Technical,175,3,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,6701,6701
4,Workshop,53,3,0,0,1,0,1,0,5,1,0,3,0,1447,908,0,0,6852,9207
1,Technical,173,1,0,1,1,0,1,0,10,5,3,3,5158,2718,2535,0,0,15134,25545
0,Non-Technical,175,4,20000,1,1,0,1,1,10,3,3,2,14417,1531,1708,0,1963,5345,24964
3,Seminar,228,3,0,1,1,1,0,0,11,4,1,1,3412,931,0,17960,0,11823,34126
0,Non-Technical,108,3,5000,1,1,0,1,0,8,1,2,3,3118,5056,1281,0,0,10933,20388
0,Non-Technical,182,1,10000,0,1,1,1,1,12,3,0,4,0,7087,2527,10616,5229,8231,33690
4,Workshop,72,3,0,1,1,1,0,0,3,2,3,3,2755,994,0,5710,0,6488,15947
4,Workshop,33,5,0,1,1,1,1,0,2,1,3,1,1485,589,549,2410,0,7219,12252
0,Non-Technical,184,3,1000,1,1,0,1,1,13,4,4,5,9913,8252,1731,0,1848,6283,28027
1,Technical,172,3,5000,1,1,1,0,0,12,4,4,1,7274,4360,0,11606,0,8453,31693
4,Workshop,80,3,0,1,0,0,1,0,5,2,2,0,1851,0,1129,0,0,9330,12310
3,Seminar,216,2,0,1,0,0,0,0,10,4,4,0,13753,0,0,0,0,5186,18939
4,Workshop,100,5,0,1,1,0,0,0,7,3,3,1,12707,1045,0,0,0,5346,19098
2,Hackathon,185,5,10000,1,0,0,1,1,8,5,3,0,6331,0,2526,0,3643,15313,27813
4,Workshop,69,3,0,1,1,0,1,0,3,1,3,5,1965,3053,1137,0,0,9430,15585
3,Seminar,159,2,0,0,1,1,1,0,8,2,0,5,0,8017,1499,11368,0,10210,31094
3,Seminar,202,2,0,1,1,0,0,0,20,5,2,2,5115,5493,0,0,0,6623,17231
3,Seminar,158,1,0,1,1,0,1,0,6,3,3,4,5065,7076,1699,0,0,6712,20552
4,Workshop,78,2,0,1,1,1,0,0,6,1,1,3,2010,4198,0,5934,0,5662,17804
4,Workshop,62,5,0,1,1,1,1,0,2,1,4,4,6693,2410,645,5046,0,6116,20910
3,Seminar,123,2,0,1,0,0,1,0,6,2,4,0,6518,0,1295,0,0,8429,16242
2,Hackathon,63,6,0,1,1,1,1,0,3,1,2,4,6401,3587,886,1559,0,5791,18224
3,Seminar,242,1,0,1,1,0,1,0,10,4,3,5,7479,10386,3131,0,0,5612,26608
1,Technical,106,4,0,1,0,0,1,0,6,2,2,0,1996,0,1562,0,0,9009,12567
1,Technical,148,3,3000,1,0,0,1,0,13,3,1,0,2328,0,1952,0,0,9761,14041
2,Hackathon,100,8,15000,1,0,1,1,0,4,2,2,0,11705,0,1102,6390,0,6108,25305
2,Hackathon,124,5,7000,1,1,1,1,1,12,2,4,1,13680,1050,1344,7371,2117,9942,35504
2,Hackathon,122,7,0,1,1,1,1,0,7,2,3,3,19513,4522,1242,2842,0,13415,41534
3,Seminar,54,1,0,1,1,1,1,0,2,1,4,2,2214,2646,890,911,0,6084,12745
2,Hackathon,111,7,1000,1,1,1,1,1,11,2,4,4,19522,3943,1658,6002,2021,6869,40015
1,Technical,169,1,15000,0,1,1,1,0,13,3,0,4,0,7881,2335,3575,0,13722,27513
0,Non-Technical,166,4,7000,1,0,0,1,0,6,3,3,0,6224,0,2425,0,0,11931,20580
1,Technical,116,2,3000,1,1,0,1,1,10,2,3,5,4204,7084,1365,0,2481,8746,23880
0,Non-Technical,217,4,15000,1,1,0,1,1,10,3,3,1,18797,2755,3005,0,3053,5076,32686
0,Non-Technical,174,1,1000,1,1,0,1,1,7,3,4,1,9055,990,1756,0,1591,12553,25945
3,Seminar,208,3,0,1,1,0,0,0,9,3,3,2,6624,2140,0,0,0,5419,14183
4,Workshop,71,5,0,1,0,0,0,0,3,1,3,0,2440,0,0,0,0,6738,9178
3,Seminar,177,3,0,1,0,1,1,0,16,3,3,0,5854,0,2465,2560,0,11312,22191
3,Seminar,236,1,0,1,1,0,0,0,15,4,2,1,7404,971,0,0,0,9420,17795
1,Technical,177,4,3000,0,1,0,1,1,11,3,0,4,0,9602,1693,0,2569,3055,16919
4,Workshop,32,2,0,1,1,0,1,0,2,1,2,3,781,713,310,0,0,6406,8210
3,Seminar,293,1,0,0,0,1,1,0,18,6,0,0,0,0,3700,22564,0,4654,30918
2,Hackathon,82,6,0,1,1,1,0,0,3,2,1,4,15088,4170,0,5227,0,6521,31006
2,Hackathon,74,6,0,1,1,1,1,0,4,1,2,3,11983,3588,838,3881,0,3353,23643
3,Seminar,187,2,0,1,1,0,0,0,8,4,2,3,5211,2491,0,0,0,8295,15997
1,Technical,183,4,0,1,0,1,1,0,12,4,2,0,5365,0,2168,2279,0,12273,22085
4,Workshop,99,5,0,1,1,0,0,0,5,3,2,4,2526,4878,0,0,0,7939,15343
4,Workshop,23,5,0,1,1,0,0,0,2,1,4,3,1047,1213,0,0,0,10124,12384
4,Workshop,29,3,0,1,0,0,1,0,2,1,1,0,594,0,491,0,0,6002,7087
4,Workshop,44,2,0,1,1,1,1,0,2,1,4,5,1952,3135,646,3521,0,3892,13146
0,Non-Technical,243,2,0,1,0,1,1,0,10,4,2,0,7520,0,2321,17363,0,6339,33543
0,Non-Technical,173,2,7000,1,0,0,1,0,14,5,4,0,7462,0,1873,0,0,6662,15997
0,Non-Technical,100,1,2000,1,1,0,1,0,5,3,4,4,4390,4453,1559,0,0,7704,18106
2,Hackathon,80,8,2000,1,1,1,1,1,3,1,2,3,6523,2692,968,4770,3093,7033,25079
1,Technical,143,3,10000,1,0,0,1,1,11,4,2,0,3238,0,1608,0,1928,7737,14511
3,Seminar,255,1,0,1,0,1,1,0,13,4,2,0,4795,0,2549,12487,0,7796,27627
0,Non-Technical,238,1,0,0,0,1,1,0,15,7,0,0,0,0,2111,4561,0,9312,15984
1,Technical,131,3,15000,1,0,1,1,1,11,2,4,0,6035,0,1266,9153,2366,3235,22055
2,Hackathon,149,6,0,1,0,0,1,0,6,3,4,0,7038,0,1953,0,0,5119,14110
1,Technical,73,3,7000,1,0,0,1,1,3,1,3,0,2430,0,1110,0,2227,6523,12290
3,Seminar,300,1,0,1,1,1,1,0,13,5,1,4,5428,12103,3693,12513,0,9154,42891
3,Seminar,78,3,0,1,0,1,1,0,7,1,2,0,1663,0,1060,6199,0,8107,17029
3,Seminar,152,3,0,0,0,0,1,0,10,4,0,0,0,0,1923,0,0,10323,12246
4,Workshop,87,2,0,1,0,1,1,0,3,1,2,0,2082,0,1268,5502,0,4721,13573
1,Technical,47,4,20000,0,0,0,1,1,2,1,0,0,0,0,820,0,1535,7455,9810
4,Workshop,37,5,0,1,0,0,1,0,3,1,3,0,3701,0,565,0,0,7280,11546
2,Hackathon,76,7,10000,1,1,0,1,1,6,2,1,4,7597,1776,1231,0,3765,10878,25247
0,Non-Technical,83,4,15000,1,0,0,1,1,4,1,4,0,9609,0,949,0,2413,5105,18076
4,Workshop,51,2,0,1,0,1,1,0,2,1,4,0,2702,0,729,1009,0,7450,11890
3,Seminar,279,1,0,1,0,1,0,0,23,5,1,0,2472,0,0,3553,0,8008,14033
1,Technical,56,1,10000,1,1,0,1,1,2,1,4,5,2798,2717,675,0,2980,4844,14014
2,Hackathon,114,5,20000,1,0,1,0,1,11,2,2,0,11631,0,0,9197,1591,10700,33119
